"","date","series_id","value","realtime_start","realtime_end"
"117",2019-01-01,"FEDFUNDS",2.4,2022-10-28,2022-10-28
"118",2019-04-01,"FEDFUNDS",2.4,2022-10-28,2022-10-28
"119",2019-07-01,"FEDFUNDS",2.19,2022-10-28,2022-10-28
"120",2019-10-01,"FEDFUNDS",1.64,2022-10-28,2022-10-28
"121",2020-01-01,"FEDFUNDS",1.26,2022-10-28,2022-10-28
"122",2020-04-01,"FEDFUNDS",0.06,2022-10-28,2022-10-28
"123",2020-07-01,"FEDFUNDS",0.09,2022-10-28,2022-10-28
"124",2020-10-01,"FEDFUNDS",0.09,2022-10-28,2022-10-28
"125",2021-01-01,"FEDFUNDS",0.08,2022-10-28,2022-10-28
"126",2021-04-01,"FEDFUNDS",0.07,2022-10-28,2022-10-28
"127",2021-07-01,"FEDFUNDS",0.09,2022-10-28,2022-10-28
"128",2021-10-01,"FEDFUNDS",0.08,2022-10-28,2022-10-28
"129",2022-01-01,"FEDFUNDS",0.12,2022-10-28,2022-10-28
"130",2022-04-01,"FEDFUNDS",0.77,2022-10-28,2022-10-28
"131",2022-07-01,"FEDFUNDS",2.19,2022-10-28,2022-10-28
